dbID,mean_mag,std_mag,skewness,kurt,excess_var,n_obs,baseline,mean_err,sf_at_300d,drw_at_300d,sf_excess,log_tau,log_sigma,peak_power,best_period,n_cycles,log_sf_at_300d,log_drw_at_300d,log_sf_excess,log_excess_var,rf_score,is_candidate,rf_nols_score,iso_score
208000,19.552564516129028,0.07607352575988606,-0.7111179291279123,-0.37345198721701944,0.005376795081967199,62,3336.9332890000005,0.021612903225806453,0.1746190080712803,0.1305479247602329,1.3375854759237982,2.40715,-0.877377,0.5942290060499714,236.8355861920405,14.089661704361502,-0.7579084831324548,-0.8842300274974356,0.12632154436498075,-2.2694765148464313,0.0,0,0.0,0.3689571259113767
2080128,19.788527777777777,0.10779880593832382,1.0496337501687232,1.4599202833643812,0.010958266627543041,72,3321.033810000001,0.02673611111111111,0.0906200860736737,0.1988674857827189,0.4556807550364698,2.52187,-0.71926,0.5846613987663329,480.84408484583423,6.906674979821731,-1.0427755296507222,-0.7014362168727223,-0.3413393127779994,-1.9602581368761272,0.0,0,0.0,0.3639559488528362
208035,20.266333333333336,0.08404077493605018,-0.5306783502881883,-0.8218536781410646,0.005586428022361973,54,3321.0338309999934,0.03827777777777778,0.0874883212160706,0.1041710440332276,0.8398525907848664,2.7557,-1.0362,0.8471921224915472,434.6511168215062,7.640688594765095,-1.058049916919774,-0.9822529831880502,-0.0757969337317237,-2.2528657924752293,0.0,0,0.0,0.36893958949048944
2080357,19.274971428571426,0.07109289123163758,-0.5310475659949073,0.5153996919132249,0.004689519875776378,70,3336.956134,0.018757142857142854,0.0462071346307047,0.0882664303050968,0.5234961295136525,3.44857,-1.15153,0.6182176111111315,427.4273495966565,7.807072095758335,-1.3352909618568998,-1.0542044369126833,-0.2810865249442162,-2.3288716191132175,0.0,0,0.003960939522808934,0.3842777103808788
2080707,19.926507462686565,0.12907794395616204,0.08422760145454859,-1.1601867886010933,0.016166601537765724,67,3336.9561239999966,0.026507462686567163,0.1065324187747561,0.2204461930177883,0.4832581471078513,2.75515,-0.710578,0.684464337466056,430.8189655172414,7.745611013186585,-0.9725182123891764,-0.6566973967952153,-0.3158208155939608,-1.7913812657161163,0.0,0,0.003985232393783722,0.350991855737855
2081090,19.255014285714285,0.05441021250178883,-0.09923616728448888,-1.0596865195294873,0.002663905175983459,70,3336.9561319999993,0.017699999999999997,0.0704090878734586,0.0604527455815736,1.1646962796495344,2.44314,-1.22004,0.7592644781610753,1100.0,3.033596483636363,-1.152371281787264,-1.2185839700083505,0.06621268822108645,-2.574481238315578,0.001970776509880323,0,0.009968513869485609,0.4183752254458371
2081482,19.337283582089547,0.07495427580729128,-0.6721465181466129,0.21595573469960394,0.005219475802804152,67,3336.956124000004,0.020029850746268656,0.0667150771201799,0.1386419781568801,0.4812040192090207,2.83695,-0.921068,0.556010633763581,403.09807516040325,8.27827352604485,-1.1757760076104158,-0.8581052536951171,-0.31767075391529837,-2.282373111438554,0.0,0,0.0,0.3599148827297132
208155,18.29028571428571,0.021125797493299295,0.2745805223806089,-0.4191749117939585,0.0003139897593445977,63,3336.9333849999966,0.01112698412698413,0.0189871871096347,0.0341306134330857,0.5563095766461915,2.23494,-1.41234,0.6140700230931708,254.87105186902343,13.092633943829856,-1.7215393698205976,-1.466855906031059,-0.254683463789538,-3.503084516043529,0.0,0,0.003946504924913762,0.5259500023926639
2081834,20.093984615384613,0.11186729670017932,0.4665934380213948,-0.18900894275471902,0.011551335576923113,65,3321.033857000002,0.03218461538461539,0.1734327175432907,0.1638438679456161,1.0585243116993392,2.99497,-0.862168,0.641229769854593,807.3802092895171,4.113345631697443,-0.7608689708264644,-0.785569807972275,0.024700837145810707,-1.9373677993082405,0.0,0,0.0,0.35145632381622194
2082062,19.82381818181818,0.12705318727483475,0.19540748059624288,-0.79988447796591,0.015605979953379973,66,3321.034101999998,0.02624242424242424,0.1755157738929633,0.1511598635499492,1.1611268346704076,3.01524,-0.898597,0.5231291302394063,316.2292370748544,10.501983095300826,-0.7556838466806111,-0.8205635087868494,0.06487966210623815,-1.8067089552919466,0.0,0,0.003990163012928612,0.3510735493161368
