dbID,band,n_obs,baseline,mean_mag,std_mag,mjd_min,mjd_max
1017734,g,61,3321.0338360000023,19.973524590163933,0.08649412119838679,51081.352274,54402.38611
1018,r,62,3336.9333019999976,19.573064516129033,0.15093160926849877,51075.301967,54412.235269
1018,g,60,3336.9333019999976,19.544483333333336,0.15536103025605297,51075.3053,54412.238602
101818,r,60,3336.933324999998,19.575,0.06412201909900639,51075.30387,54412.237195
101818,g,62,3336.9333250000054,19.981596774193548,0.07878849999542852,51075.307203,54412.240528
1018210,r,57,3321.0338210000045,19.59459649122807,0.06847457196092858,51081.34409,54402.377911
1018210,g,58,3321.0338209999973,19.857810344827588,0.09728884418744706,51081.347423,54402.381244
1018326,r,65,3336.9561220000032,19.751553846153847,0.14378991413963652,51075.365985,54412.322107
1018326,g,65,3336.9561220000032,19.788569230769227,0.1534481590466074,51075.369318,54412.32544
1018370,r,65,3336.956151999999,20.122123076923078,0.14840023923807233,51075.366839,54412.322991
1018370,g,63,3336.956151999999,20.50825396825396,0.1843804700133618,51075.370172,54412.326324
1018542,r,59,3327.0175489999965,20.275864406779657,0.20609677319056555,51075.360629,54402.378178
1018542,g,57,3327.0175489999965,20.2600350877193,0.22048805234069332,51075.363962,54402.381511
1018721,r,52,2947.9455450000023,19.239115384615385,0.05256046109963208,51464.219392,54412.164937
1018721,g,52,2947.9455450000023,19.426211538461537,0.05205630699188256,51464.222725,54412.16827
1019591,r,57,2934.938691999996,20.26994736842105,0.16963515245731084,51467.308233,54402.246925
1019591,g,55,2934.9386920000034,20.678545454545453,0.24109295213723675,51467.311566,54402.250258
101965,r,52,3321.0338859999974,19.38401923076923,0.14012487430648546,51081.289072,54402.322958
101965,g,55,3311.0354940000034,19.582545454545453,0.16348353469295443,51081.292405,54392.327899
1019709,r,49,2941.9424940000026,20.390612244897962,0.12801431940416444,51464.220719,54406.163213
1019709,g,49,2941.9424940000026,20.56342857142857,0.1617718221724032,51464.224052,54406.166546
1019713,r,55,2934.9386990000057,20.443836363636365,0.1101913647229406,51467.312556,54402.251255
1019713,g,54,2934.9386990000057,20.92024074074074,0.1029206697710327,51467.315889,54402.254588
1019778,r,54,3336.9333410000036,19.94105555555555,0.07180282070871905,51075.233942,54412.167283
1019778,g,54,3336.933342000004,19.956574074074073,0.07178274884364669,51075.237275,54412.170617
1020058,r,48,3336.9333229999975,21.034854166666666,0.2629920776360108,51075.234033,54412.167356
1020058,g,49,3336.9333229999975,21.239918367346935,0.29773113722082145,51075.237366,54412.170689
1020198,r,57,2934.9388000000035,19.585350877192983,0.08093824616467143,51467.313201,54402.252001
1020198,g,57,2934.9388000000035,19.828526315789475,0.09047479153869564,51467.316534,54402.255334
1021519,r,58,2934.938697999998,19.145672413793104,0.05620448746688267,51467.320672,54402.25937
1021519,g,58,2934.9386989999985,19.43284482758621,0.07267661050589422,51467.324005,54402.262704
102187,r,19,2153.0445990000007,19.895315789473685,0.066358716265286,52253.191748,54406.236347
102187,g,16,2153.0445990000007,20.2488125,0.12261128554806856,52253.195081,54406.23968
1022068,r,54,3336.933305999999,20.244666666666664,0.0697097155670891,51075.234304,54412.16761
1022068,g,54,3336.933305999999,21.191518518518517,0.09989971651995917,51075.237637,54412.170943
1022962,r,35,2229.8970150000023,19.457028571428573,0.10238903002464532,52172.349569,54402.246584
1022962,g,36,2229.8970150000023,19.581055555555558,0.10748125015928352,52172.352902,54402.249917
1023080,r,52,2229.9471120000017,20.224673076923075,0.14313196186008606,52172.299802,54402.246914
1023080,g,51,2229.9471129999947,20.432372549019608,0.20971212395261782,52172.303135,54402.250248
1023490,r,50,2934.9387050000005,20.2724,0.11762941808918354,51467.308472,54402.247177
1023490,g,49,2934.9387050000005,20.544244897959185,0.13518762934170564,51467.311805,54402.25051
1025069,r,55,2229.947167999999,19.693072727272728,0.1648464690161955,52172.300486,54402.247654
1025069,g,54,2229.947167999999,19.936203703703704,0.24272499143632503,52172.303819,54402.250987
1025590,r,59,3327.0175649999946,19.552169491525422,0.28563685327805477,51075.239327,54402.256892
1025590,g,58,3327.017565999995,19.477637931034483,0.28819274550417917,51075.24266,54402.260226
1025740,r,54,3330.9303660000005,19.04801851851852,0.09493750200365564,51075.234817,54406.165183
1025740,g,54,3330.9303660000005,19.293462962962963,0.10532238215979277,51075.23815,54406.168516
1026527,r,55,3336.9333569999944,20.53134545454546,0.06044357795252089,51075.239347,54412.172704
1026527,g,55,3336.9333569999944,20.907672727272733,0.05751301972611534,51075.24268,54412.176037
1027365,r,54,3336.933321999997,17.873148148148147,0.1696720592253062,51075.241667,54412.174989
1027365,g,53,3336.933321999997,17.86954716981132,0.19790740793267825,51075.245,54412.178322
1027475,r,58,2934.938699999999,19.395586206896557,0.10798819132165688,51467.31298,54402.25168
1027475,g,58,2934.938699999999,19.7135,0.1376857053156787,51467.316313,54402.255013
1027921,r,54,3336.933321999997,19.214629629629627,0.20117583025214686,51075.234166,54412.167488
1027921,g,55,3336.9333229999975,19.26454545454546,0.20950945460825374,51075.237499,54412.170822
1028255,r,50,2947.945405999999,19.924300000000002,0.11122684028596701,51464.220466,54412.165872
1028255,g,50,2947.9454069999992,19.948980000000002,0.1188334111266694,51464.223799,54412.169206
1028306,r,56,3336.9333000000042,19.882767857142856,0.12372319205610177,51075.23785,54412.17115
1028306,g,55,3336.9333010000046,20.25263636363636,0.17702864315095396,51075.241183,54412.174484
1029706,r,52,3336.9333350000015,20.196173076923078,0.234914937236197,51075.233529,54412.166864
1029706,g,52,3336.933336000002,20.68846153846154,0.2923048633466345,51075.236862,54412.170198
1030313,r,58,3327.017611000003,18.494155172413798,0.09288179394079295,51075.234348,54402.251959
1030313,g,58,3327.017611000003,18.61075862068965,0.10642778194865875,51075.237681,54402.255292
1032361,r,55,2934.9387260000003,19.24969090909091,0.05249965289141448,51467.308846,54402.247572
