dbID,log_tau,log_sigma,sf_at_300d,drw_at_300d,sf_excess
1081361,5.0,-1.15,0.05740797265777048,0.09089662819106624,0.6315742816895029
1081414,2.21543,-0.808393,0.12041485067771518,0.1351524652963275,0.8909556360196651
108155,2.62073,-0.684522,0.13594895808831328,0.22420856461981076,0.6063504234052842
1081789,1.92388,-0.553779,0.16565984783641807,0.18677589573989492,0.8869444698962484
1082200,2.94619,-1.00286,0.07704964861469746,0.11749329479395149,0.6557791127554962
1082630,3.21099,-0.706416,0.2329606758029954,0.24134091694725535,0.9652763350273861
1083646,2.54518,-0.436167,0.30331225911692455,0.38552597561046176,0.7867492161498177
1083654,2.77936,-0.61842,0.20329970023574093,0.27435508617951765,0.7410094088896046
1083965,5.0,-1.125,0.029372746581793376,0.09628259201744187,0.3050680913998703
1084509,2.73448,-0.549692,0.06514705133674338,0.3174218318564763,0.20523809265331158
1084922,2.41383,-0.763072,0.05674715851917229,0.17047397058223204,0.3328787282032537
1084972,1.7724,-0.262134,0.12443118933418915,0.31041849434107655,0.40084979343230975
1085498,2.73653,-1.03125,0.0886788372173024,0.1047940908275565,0.8462198251543352
1086858,2.82831,-0.800211,0.024865420901856356,0.18275310085174984,0.13606018604317582
1087265,3.04033,-1.2357,0.014296763126577319,0.06982713571833866,0.20474508913334344
108734,5.0,-0.75,0.3169595794419212,0.22832200702311048,1.3882130048455599
1087654,3.53901,-0.860894,0.06835119128675415,0.17321554880748644,0.39460193820544587
1087933,2.85606,-1.45221,0.04132341951000614,0.04098809432388455,1.0081810387053343
1088047,3.93538,-0.797796,0.12749650149999,0.20290430537878967,0.6283577929111684
1088099,2.38689,-0.690612,0.22458630268326998,0.19843454128926832,1.1317903688747357
1088473,2.27975,-0.738006,0.08444764350994131,0.16641438405407766,0.5074539919728297
1088481,3.02184,-0.86524,0.2584131634753243,0.1633982052707726,1.5814932792382832
1088541,3.31344,-0.957189,0.14517969161402272,0.1367643812050879,1.061531447989484
1088546,2.59737,-1.27874,0.019618956350323628,0.05657606763027503,0.34677129698256226
1089113,2.43678,-0.859435,0.10802771370395932,0.13822662645715977,0.781526081282466
1089406,5.0,-0.875,0.1564515960635367,0.17121735092979481,0.9137601721667065
1089624,5.0,-0.725,0.3079033314832137,0.24185093647918487,1.2731120084362944
1090281,2.69227,-0.742702,0.09766892945159068,0.20093914569202131,0.4860622310064336
1091003,2.76782,-0.793016,0.14521011146124893,0.1829680944002855,0.7936362453640023
1091029,2.71669,-0.991192,0.09392439091519938,0.11424871256765769,0.8221045892274513
1091047,3.16686,-0.957929,0.06771254319361433,0.13459659204274413,0.5030776943602756
1091220,2.71847,-1.43878,0.02952750519800772,0.04078456074627465,0.7239873289723937
109176,3.8549,-0.840238,0.1832067556845738,0.18368800785892034,0.9973800566517322
