dbID,peak_power,best_period,rest_period,n_cycles,n_obs,baseline,null_p99,null_p999,sig_99,sig_999,log_tau,log_sigma,redshift
1503299,0.8747560845683419,404.098134705504,179.34410381036037,7.262935549402887,55.0,2934.9387080000015,0.9357550821557843,0.9555545052377065,False,False,5.0,-0.825,1.2532
674317,0.8745998693037692,397.8469332368373,174.0058315416538,8.387537648841237,62.0,3336.956130999999,0.9131942220649615,0.9328606373262817,False,False,5.0,-1.0,1.2864
2790268,0.8743979609684571,399.79999999999995,188.99498912735177,6.4606371060530305,52.0,2582.9627150000015,0.9219303046840095,0.9420216246183184,False,False,5.0,-1.05,1.1154
3054070,0.8743941343692431,548.9016475287069,364.4039351581404,6.0648281235590495,37.0,3328.9941489999983,0.9206848325551709,0.9413008410959295,False,False,1.8458,-0.203078,0.5063
3802995,0.8743511873242698,397.52327578414537,126.07379270690603,8.39436660511915,69.0,3336.9561109999995,0.8986873363829303,0.9212762840976408,False,False,5.0,-0.925,2.1531
652840,0.8735857691313716,575.4023289284313,400.5585304061478,3.1527810799417835,34.0,1814.117575999997,0.9250426047118792,0.9467653926007752,False,False,1.94064,-0.233239,0.4365
4033104,0.8733160273518167,486.5899535295419,180.82795850070306,6.857793344879268,62.0,3336.933345000005,0.8847589113970962,0.8988781102836344,False,False,2.93869,-0.871082,1.6909
3764017,0.8733016524229996,414.37859229247147,160.73645938420148,8.052916333198873,65.0,3336.956134,0.8595112437141014,0.890374948771317,True,False,4.12289,-0.685447,1.578
3996597,0.8729774926153316,321.4296155532816,110.76141128645128,10.381536649185508,61.0,3336.933334000001,0.9039744772031445,0.9238871313032316,False,False,3.53883,-0.77716,1.902
4084108,0.8729696738388705,246.5134529147982,89.53381502734834,13.472018791395696,55.0,3321.0338699999993,0.8738587045094419,0.910620284481693,False,False,3.28717,-0.869811,1.7533
780463,0.8727188361182169,404.76760239300506,215.86454183403822,8.244072157138788,41.0,3336.933320999997,0.9265169043741647,0.9588127405432847,False,False,3.49922,-0.750275,0.8751
