dbID,peak_power,best_period,n_cycles,n_obs,baseline,redshift,rest_period
1052147,0.7280208936926394,444.53654098857777,6.631503010853154,53,2947.9454100000003,1.2734,195.5381987281507
1052697,0.704097510321703,336.48048967100226,9.917167317079,55,3336.933315000002,1.3487,143.26243865585315
1053466,0.6941343564530859,392.1005706134094,7.5183400380881436,64,2947.9454190000033,1.4766,158.32212331963555
1053588,0.5447536907118942,410.8941418293936,7.1428097926463385,55,2934.938700000006,3.8922,83.9896451145484
1054076,0.6885988755727773,450.27132179789083,6.547042306023682,55,2947.9453929999945,0.8504,243.33729020638285
1054283,0.5547363121566111,332.13503511819346,8.83658291560711,56,2934.9387769999958,1.986,111.23075523047336
1054603,0.7919242402285228,402.76582104588334,7.286960783759376,58,2934.938742999999,2.7611,107.08724071305824
1055184,0.7318588321036386,449.0300183785991,7.409343348610669,54,3327.0175799999997,1.7237,164.8603070744205
1055774,0.48554720715249966,340.22899582237346,9.807903949909484,113,3336.9333119999937,3.0438,84.13596019149648
1056631,0.7934393238494789,414.37859229247147,7.114135389309199,55,2947.9454079999996,0.9728,210.04592066731118
1057038,0.5227509727591945,448.2062780269058,7.445083832136072,53,3336.9333140000017,3.8747,91.94540751777664
10579,0.699670136559482,1048.093422306959,3.178103776921188,110,3330.9496639999998,2.2762,319.9113064852448
1057980,0.9030961856262071,461.7597648047038,6.3841539382427674,55,2947.945421000004,2.1332,147.37640904018377
1058096,0.6199317664929047,329.8927312279649,8.896645688661375,55,2934.9387449999995,1.7762,118.8288780447968
1058483,0.6848278461688874,428.55193919313973,7.786532055560504,55,3336.9334119999985,2.003,142.707938459254
105857,0.44343979082439977,242.4767050780173,13.69630041752446,50,3321.0337970000037,1.6415,91.79508047625112
1058597,0.7531433516904207,921.5842414082146,3.1846667858765745,57,2934.9387239999996,1.5483,361.64668265440275
1059296,0.7764914666072545,307.66755281936474,9.581593453667745,54,2947.9454100000003,1.7711,111.02722847221854
1059724,0.8494286608929891,402.4341142020497,8.2918748541398,54,3336.933312000001,3.4668,90.09450035865714
1060178,0.8224165664154447,395.5923360618872,8.435283120545503,54,3336.933355000001,2.5176,112.46086424320195
1060596,0.7553385057943782,421.89178818112043,6.987444388783483,55,2947.9454079999996,1.2253,189.588724298351
1060872,0.7412935142382675,340.22899582237346,9.80790391463913,56,3336.933299999997,2.3259,102.29682065677666
1061583,0.5797796098150714,563.4593209481102,5.922225775562771,55,3336.9333139999944,1.6012,216.6151472197871
1061586,0.5744975206991201,390.5337003818488,7.515199590023423,57,2934.9387050000005,1.8343,137.7884134995762
1062088,0.4503731549781997,390.5337003818488,8.544546592873468,53,3336.933398999994,2.1972,122.14866144809483
1062250,0.46391327344256417,336.0177261613692,8.734475801406152,57,2934.938697999998,4.8864,57.08373983442667
1062310,0.48972610907498915,234.3368679064315,14.239898859331014,55,3336.9332979999963,1.408,97.31597504419913
106285,0.7061763268534885,907.8860445912469,3.657985341646283,51,3321.0338430000047,1.9218,310.72833342160544
1062985,0.7861183776268209,329.67016491754123,8.902651793601349,58,2934.938685000001,1.3011,143.26633562971676
106325,0.5281004357470567,281.44118776398307,11.821359952438955,54,3327.0175860000018,1.0264,138.8872817627236
106501,0.6786173095262732,404.43259150266687,8.250901260458871,103,3336.933379000002,0.9353,208.97669172875877
106565,0.6593225825611356,324.63276002066874,10.230125689682572,55,3321.0339380000005,2.3863,95.86650917540346
1066256,0.7739719494944393,313.9940025703269,9.388540522648153,55,2947.9454170000026,2.204,98.00062502194972
1066321,0.612542873200216,332.5871587385615,10.03325973455,54,3336.9333479999987,2.0842,107.8357949350112
106691,0.6575882601492112,313.79236532286836,10.551676139708484,63,3311.035413999998,2.8515,81.47276783665282
106772,0.4764422135236165,677.5227237713757,4.901730519846972,50,3321.033813000002,1.2936,295.397071752431
